SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LANDAREA_AVG,LIVINGAREA_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,LANDAREA_MODE,LIVINGAREA_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,LANDAREA_MEDI,LIVINGAREA_MEDI,NONLIVINGAREA_MEDI,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
322225,0,Cash loans,M,Y,Y,0,405000.0,1546020.0,45333.0,1350000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.006233,-15222,-404,-680.0,-4124,1,1,0,1,1,0,2.0,2,2,WEDNESDAY,15,0,0,0,0,0,0,0.29231445839582,0.5926912659941826,0.3723336657058204,0.1227,0.1484,0.9896,0.0,0.4138,0.1667,0.1363,0.1409,0.001,0.125,0.154,0.9896,0.0,0.4138,0.1667,0.1394,0.1468,0.0011,0.1239,0.1484,0.9896,0.0,0.4138,0.1667,0.1386,0.1434,0.0011,block of flats,0.111,Panel,No,0.0,0.0,0.0,0.0,-1718.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
271653,0,Cash loans,F,N,N,0,135000.0,450000.0,35554.5,450000.0,"Spouse, partner",Working,Higher education,Married,House / apartment,0.008625,-10010,-1175,-4523.0,-1710,1,1,1,1,0,0,2.0,2,2,FRIDAY,14,0,0,0,0,0,0,0.5904948067677015,0.4887146611028522,0.5673792367572691,,,0.9811,0.4,0.3448,0.3333,,0.374,,,,0.9811,0.4028,0.3448,0.3333,,0.3896,,,,0.9811,0.4,0.3448,0.3333,,0.3807,,block of flats,0.2941,Panel,No,13.0,0.0,13.0,0.0,-1665.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
106268,0,Cash loans,F,N,N,0,360000.0,497520.0,52920.0,450000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-10292,-1489,-4895.0,-2831,1,1,0,1,0,1,2.0,1,1,FRIDAY,13,0,0,0,0,0,0,,0.6567589995504473,0.2525986978339766,0.4454,0.3305,0.9781,0.48,0.4138,0.3333,0.0,0.2917,0.0,0.4538,0.343,0.9782,0.4834,0.4138,0.3333,0.0,0.3039,0.0,0.4497,0.3305,0.9781,0.48,0.4138,0.3333,0.0,0.2969,0.0,block of flats,0.3461,Panel,No,0.0,0.0,0.0,0.0,-686.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
266995,0,Cash loans,F,N,N,0,157500.0,835605.0,23107.5,697500.0,Unaccompanied,State servant,Secondary / secondary special,Separated,House / apartment,0.016612,-17475,-2356,-709.0,-1023,1,1,0,1,0,0,1.0,2,2,MONDAY,16,0,0,0,0,0,0,,0.7220774477873492,0.4118485559242397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
447645,0,Cash loans,F,N,Y,0,202500.0,462825.0,29709.0,378000.0,Family,Working,Secondary / secondary special,Married,Municipal apartment,0.020713,-18006,-1033,-8857.0,-1541,1,1,0,1,0,0,2.0,3,2,THURSDAY,10,0,0,0,0,0,0,0.3971688714345566,0.4688862991135395,0.622922000268356,0.1021,0.1084,0.9796,0.0,0.2069,0.1667,0.0358,0.0915,0.0,0.104,0.1124,0.9796,0.0,0.2069,0.1667,0.0366,0.0954,0.0,0.1031,0.1084,0.9796,0.0,0.2069,0.1667,0.0364,0.0932,0.0,block of flats,0.0802,Panel,No,0.0,0.0,0.0,0.0,-1751.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0
266271,0,Cash loans,F,N,Y,0,67500.0,86598.0,8226.0,76500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.00733,-21319,365243,-5784.0,-4870,1,0,0,1,0,0,1.0,2,2,THURSDAY,11,0,0,0,0,0,0,,0.2642092396602031,0.0361019144162035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,-314.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
308653,0,Cash loans,M,N,Y,2,157500.0,943425.0,27715.5,787500.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.010276,-15031,-1436,-7506.0,-5028,1,1,0,1,0,0,4.0,2,2,THURSDAY,16,0,0,0,0,1,1,,0.6395618630409634,0.3944954053123993,0.1237,0.1,0.9841,0.0,0.2759,0.1667,0.0284,0.1075,0.0374,0.1261,0.1038,0.9841,0.0,0.2759,0.1667,0.029,0.112,0.0396,0.1249,0.1,0.9841,0.0,0.2759,0.1667,0.0289,0.1095,0.0382,block of flats,0.0927,"Stone, brick",No,7.0,0.0,7.0,0.0,-1947.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
238924,1,Cash loans,F,N,Y,0,153000.0,545040.0,25537.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-12716,-2199,-17.0,-17,1,1,1,1,0,0,2.0,2,2,THURSDAY,11,0,0,0,0,1,1,,0.0735365231826243,0.0655500263257595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-428.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0
159211,0,Cash loans,F,N,Y,0,225000.0,1467612.0,54517.5,1350000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.04622,-23065,365243,-1829.0,-1829,1,0,0,1,1,0,1.0,1,1,THURSDAY,13,0,0,0,0,0,0,,0.7280883714917349,,0.0371,0.0338,0.9697,0.0,0.1034,0.125,0.0,0.0334,0.0047,0.0378,0.0351,0.9697,0.0,0.1034,0.125,0.0,0.0348,0.0049,0.0375,0.0338,0.9697,0.0,0.1034,0.125,0.0,0.034,0.0048,block of flats,0.0303,"Stone, brick",No,0.0,0.0,0.0,0.0,-250.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
137604,0,Cash loans,M,Y,Y,0,166500.0,1042560.0,55674.0,900000.0,Family,Working,Secondary / secondary special,Separated,House / apartment,0.030755,-17263,-546,-7520.0,-799,1,1,0,1,0,0,1.0,2,2,FRIDAY,9,0,0,0,0,0,0,,0.4710978604195087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
153921,0,Cash loans,F,N,N,0,180000.0,835605.0,24561.0,697500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.0105,-23477,365243,-2716.0,-2872,1,0,0,1,0,0,2.0,3,3,FRIDAY,12,0,0,0,0,0,0,,0.6187596782689828,0.6658549219640212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016,,No,0.0,0.0,0.0,0.0,-1677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,3.0
375833,0,Cash loans,F,N,N,0,90000.0,143910.0,14233.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-19283,-975,-12697.0,-2821,1,1,0,1,0,0,2.0,2,2,MONDAY,9,0,0,0,0,0,0,,0.6973555874124598,0.8256357449717892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,6.0,0.0,-2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
130547,0,Cash loans,F,Y,Y,0,540000.0,979717.5,68314.5,904500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.035792,-16848,-907,-674.0,-391,1,1,0,1,0,0,1.0,2,2,THURSDAY,11,0,0,0,0,1,1,0.7698511451988835,0.6547053986297637,0.5046813193144684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2609.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,3.0
427482,0,Cash loans,F,N,Y,0,74250.0,454500.0,13023.0,454500.0,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,0.025164,-22894,365243,-12117.0,-4494,1,0,0,1,1,0,1.0,2,2,MONDAY,16,0,0,0,0,0,0,0.6961973171939341,0.0499999246643541,0.7850520263728172,0.0722,0.0822,0.9836,0.0,0.1379,0.1667,0.0923,0.0686,0.022,0.0735,0.0853,0.9836,0.0,0.1379,0.1667,0.0944,0.0714,0.0232,0.0729,0.0822,0.9836,0.0,0.1379,0.1667,0.0939,0.0698,0.0224,block of flats,0.0587,"Stone, brick",No,0.0,0.0,0.0,0.0,-235.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
104863,1,Cash loans,M,Y,N,0,265500.0,521280.0,28408.5,450000.0,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,0.002042,-13936,-3411,-7969.0,-4607,1,1,0,1,0,0,1.0,3,3,FRIDAY,16,0,0,0,0,0,0,0.1253950169807987,0.5573422275262607,0.6738300778602003,0.0825,0.0767,0.9796,0.0,0.1379,0.1667,0.0312,0.0759,0.002,0.084,0.0796,0.9796,0.0,0.1379,0.1667,0.0319,0.079,0.0021,0.0833,0.0767,0.9796,0.0,0.1379,0.1667,0.0318,0.0772,0.002,block of flats,0.0785,Panel,No,0.0,0.0,0.0,0.0,-199.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
156938,0,Cash loans,F,N,N,0,337500.0,1006920.0,42790.5,900000.0,Family,Pensioner,Higher education,Married,House / apartment,0.072508,-17367,365243,-9681.0,-911,1,0,0,1,1,0,2.0,1,1,FRIDAY,12,0,0,0,0,0,0,,0.731735423611235,0.4276573700350293,0.2206,0.1431,0.9796,0.24,0.2069,0.3333,0.0,0.211,0.0,0.2248,0.1485,0.9796,0.2417,0.2069,0.3333,0.0,0.2198,0.0,0.2228,0.1431,0.9796,0.24,0.2069,0.3333,0.0,0.2147,0.0,block of flats,0.1659,Panel,No,0.0,0.0,0.0,0.0,-1673.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
